TARIFAS 2021;;;;;
;;;;;
CUENCA;MUNICIPIO DONDE SE PRESTA EL SERVICIO;RUTA EN CÍVICA; TARIFA PLENA ; TARIFA INTEGRADA ;VIGENCIA
Cuenca 7;Barbosa;C7-BARBOSA PORCESITO BARBOSA; 3.450 ; 4.050 ; 1/01/2021-31/01/2021 
;Copacabana;C7-COONATRA COPACABANA SAN JUAN-NIQUIA; 2.600 ; 2.950 ; 1/01/2021-31/01/2021 
;Copacabana;C7-COONATRA OTRAS; 2.400 ; 2.950 ; 1/01/2021-31/01/2021 
;Girardota;C7-EXPRESO GIRARDOTA BUS; 2.650 ; 3.250 ; 1/01/2021-31/01/2021 
;Girardota;C7-EXPRESO GIRARDOTA MICRO; 2.650 ; 3.600 ; 1/01/2021-31/01/2021 
;Barbosa;C7-TRANSMEBA BARBOSA; 3.450 ; 4.050 ; 1/01/2021-31/01/2021 
Cuenca 8A;La América;C8A-CONDUCCIONES AMERICA; 1.900 ; 3.000 ; 1/01/2021-31/01/2021 
;Floresta -Calazans;C8A-COONATRA; 1.800 ; 3.000 ; 1/01/2021-31/01/2021 
;San Javier;C8A-METROSAN; 1.350 ; 2.750 ; 1/01/2021-31/01/2021 
;MEDELLIN;C8A-AUTOBUSES POBLADO LAURELES; 2.400 ; 3.000 ; 1/01/2021-31/01/2021 
;MEDELLIN;C8A-TAX MAYA-TARIFA 1; 2.400 ; 3.000 ; 1/01/2021-31/01/2021 
;MEDELLIN;C8A-TAX MAYA-TARIFA 2; 2.500 ; 3.000 ; 1/01/2021-31/01/2021 
;MEDELLIN;C8A-TAX MAYA TARIFA 3; 1.800 ; 3.000 ; 1/01/2021-31/01/2021 
Cuenca 9;Caldas;C9-ARRIERITAS-BUS; 2.600 ; 3.100 ; 1/01/2021-31/01/2021 
;Caldas;C9-ARRIERITAS-MICRO; 2.600 ; 3.100 ; 1/01/2021-31/01/2021 
;Caldas;C9-LA VALERIA-BUS; 2.600 ; 3.100 ; 1/01/2021-31/01/2021 
;Caldas;C9-LA VALERIA-MICRO; 2.600 ; 3.100 ; 1/01/2021-31/01/2021 
;Caldas;C9-MOCATÁN-BUS; 2.600 ; 3.100 ; 1/01/2021-31/01/2021 
;Caldas;C9-MOCATÁN-MICRO; 2.600 ; 3.100 ; 1/01/2021-31/01/2021 
Cuenca 2A;Cootransblan;C2A-COOTRANSBLAN; 1.800 ; 3.000 ; 1/01/2021-31/01/2021 
Cuenca 2A;MEDELLIN;C2A-PALENQUE ROBLEDAL-TARIFA 1; 2.400 ; 3.000 ; 1/01/2021-31/01/2021 
;MEDELLIN;C2A-PALENQUE ROBLEDAL-TARIFA 2; 2.500 ; 3.000 ; 1/01/2021-31/01/2021 
;MEDELLIN;C2A-RAPIDO SAN CRISTOBAL; 1.800 ; 3.000 ; 1/01/2021-31/01/2021 
Cuenca 5;Sabaneta;C5-COOTRANS; 2.300 ; 3.050 ; 1/01/2021-31/01/2021 
;Envigado;C5-COOTRASENVI-TARIFA 1; 2.300 ; 3.050 ; 1/01/2021-31/01/2021 
;Envigado (EIA);C5-COOTRASENVI-TARIFA 2-EIA; 3.200 ; 3.400 ; 1/01/2021-31/01/2021 
;Envigado;C5-SANTRA-TARIFA 1; 2.300 ; 3.050 ; 1/01/2021-31/01/2021 
;Envigado (EIA);C5-SANTRA-TARIFA 2-EIA; 3.200 ; 3.400 ; 1/01/2021-31/01/2021 
;Sabaneta;C5-SOTRAMES-TARIFA 1; 2.300 ; 3.050 ; 1/01/2021-31/01/2021 
;Envigado (Arenales);C5-SOTRAMES-TARIFA 2; 2.600 ; 3.550 ; 1/01/2021-31/01/2021 
;Envigado (Catedral);C5-SOTRAMES-TARIFA 3; 3.100 ; 3.850 ; 1/01/2021-31/01/2021 
Cuenca 5A;MEDELLIN;C5A-AUTOBUSES POBLADO LAURELES; 2.400 ; 3.000 ; 1/01/2021-31/01/2021 
Cuenca 4;ITAGUI;C4-RAPIDO LA SANTA MARIA-BUS; 2.400 ; 2.950 ; 1/01/2021-31/01/2021 
;ITAGUI;C4-AUTOMOVILES ITAGUI-BUS; 2.400 ; 2.950 ; 1/01/2021-31/01/2021 
;ITAGUI;C4-RAPIDO LA SANTA MARIA-MICRO; 2.500 ; 2.950 ; 1/01/2021-31/01/2021 
;ITAGUI;C4-AUTOMOVILES ITAGUI-BUS; 2.400 ; 2.950 ; 1/01/2021-31/01/2021 
;ITAGUI;C4-AUTOMOVILES ITAGUI-MICRO; 2.500 ; 2.950 ; 1/01/2021-31/01/2021 
;ITAGUI;C4-COOTRASANA-BUS-TARIFA1; 2.400 ; 2.950 ; 1/01/2021-31/01/2021 
;ITAGUI;C4-COOTRASANA-MICRO; 2.500 ; 2.950 ; 1/01/2021-31/01/2021 
;SAN ANTONIO PRADO;C4-COOTRASANA-BUS-TARIFA2; 2.400 ; 3.000 ; 1/01/2021-31/01/2021 
;ESTRELLA;C4-ESTRELLA-BUS; 2.400 ; 2.950 ; 1/01/2021-31/01/2021 
;ESTRELLA;C4-ESTRELLA-MICRO; 2.500 ; 2.950 ; 1/01/2021-31/01/2021 
;ITAGUI;C4-TAXIGER-BUS; 2.400 ; 2.950 ; 1/01/2021-31/01/2021 
;ITAGUI;C4-TAXIGER-MICRO; 2.500 ; 2.950 ; 1/01/2021-31/01/2021 
;GUAYABAL;C4-TRANSLAMAYA-BUS; 2.400 ; 3.000 ; 1/01/2021-31/01/2021 
;GUAYABAL;C4-TRANSLAMAYA-MICRO; 2.500 ; 3.000 ; 1/01/2021-31/01/2021 
;ITAGUI;C4-CIRCULAR; 2.300 ; 2.950 ; 1/01/2021-31/01/2021 
Cuenca 2B;MEDELLIN;C2B-CASTILLA ; 2.400 ; 3.000 ; 1/01/2021-31/01/2021 
Cuenca 2B;MEDELLIN;C2B-CONALTRACOP; 2.400 ; 3.000 ; 1/01/2021-31/01/2021 
Cuenca 1;BELLO;C1-BELLANITA-TARIFA 1; 1.900 ; 2.950 ; 1/01/2021-31/01/2021 
;SAN FELIX;C1-BELLANITA-TARIFA 2; 3.700 ; 4.425 ; 1/01/2021-31/01/2021 
Cuenca 2;BELLO;C2-HATOVIEJO-TARIFA 1; 1.900 ; 2.950 ; 1/01/2021-31/01/2021 
;PARIS;C2-HATOVIEJO-TARIFA 2; 2.200 ; 3.450 ; 1/01/2021-31/01/2021 
